year,q_no,part,topic_code,topic_name,form,answer_type,confidence,has_shared_stem,shared_stem,question_text
2018,21,Statistical Methods,S1,"Collection, Compilation & Presentation of Data; Frequency Distributions",MSA,SEL,B,N,,"Consider the following statements: 1. The weight of a strawberry box is measured on an interval scale. 2. The number of students admitted to each IIM in 2007 is cross-sectional data. 3. Barcodes for items in a departmental store are measured on a nominal scale. (a) 1 and 2 only (b) 1 and 3 only (c) 2 and 3 only (d) 1, 2 and 3"
2018,22,Statistical Methods,S8,"Correlation: Distribution of r, Partial, Multiple, Intraclass, Correlation Ratio",PLAIN,EXPR,C,N,,The minimum value of $\text{Var}(Y-aX)$ over all $a$ is (a) $\rho^2\dfrac{\text{Var}(Y)}{\text{Var}(X)}$ (b) $\rho^2\dfrac{\text{Var}(X)}{\text{Var}(Y)}$ (c) $\rho^2\text{Var}(Y)$ (d) $(1-\rho^2)\text{Var}(Y)$
2018,23,Statistical Methods,S3,Skewness & Kurtosis (Moments),PLAIN,NUM,A,N,,"For a frequency distribution: Mean $=62$, Median $=65$, Coefficient of skewness $=-0.3$. The standard deviation is (a) $10$ (b) $30$ (c) $90$ (d) $300$"
2018,24,Statistical Methods,S4,Bivariate & Multivariate Data; Association & Contingency,MSA,EXPR,A,N,,"Smoking habits (father, son): 1. Father smoker, son smoker: 50 2. Father smoker, son not: 10 3. Father not, son smoker: 10 4. Neither smoker: 30 The coefficient of association between smoking habits of father and son is (a) $0$ (b) $\dfrac78$ (c) $-\dfrac78$ (d) $\dfrac14$"
2018,25,Statistical Methods,S4,Bivariate & Multivariate Data; Association & Contingency,MSA,SEL,A,N,,"Consider the following statements: 1. Attributes $A,B$ are positively associated if the presence of $A$ is accompanied by the presence of $B$. 2. $A,B$ are negatively associated if the presence of $A$ ensures the absence of $B$ or vice versa. 3. $A,B$ are independent if the presence/absence of one has a linear relationship with the other. (a) 1, 2 and 3 (b) 1 and 2 only (c) 1 and 3 only (d) 2 and 3 only"
2018,26,Statistical Methods,S7,Regression - Linear & Polynomial,PLAIN,EXPR,A,N,,"If the joint p.d.f. of $(X,Y)$ is $f(x,y)=\dfrac13x^2e^{-y(1+x)},\ x\ge0,y\ge0$, the regression equation of $Y$ on $X$ is (a) $y=\dfrac{1}{1+x}$ (b) $y=\dfrac{x^2}{1+x}$ (c) $y=1+x$ (d) $y=\dfrac{x^2}{2(1+x)^2}$"
2018,27,Statistical Methods,S6,Bivariate Normal Distribution,MSA,SEL,A,N,,"Let $(X,Y)\sim BVN(\mu_1,\mu_2,\sigma_1^2,\sigma_2^2,\rho)$. 1. $X,Y$ are independent iff $\rho=0$. 2. Every linear combination of $X,Y$ is a normal variate. 3. The regressions of $Y$ on $X$ and $X$ on $Y$ are linear and homoscedastic. (a) 1 and 2 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3"
2018,28,Statistical Methods,S8,"Correlation: Distribution of r, Partial, Multiple, Intraclass, Correlation Ratio",PLAIN,NAME,A,N,,"The correlation between Maths and Statistics marks for 60 students is $0.65$. After Maths marks are all increased by 3, the correlation between original Statistics marks and revised Maths marks is (a) $0.60$ (b) $0.65$ (c) $0.70$ (d) Almost $1$"
2018,29,Statistical Methods,S8,"Correlation: Distribution of r, Partial, Multiple, Intraclass, Correlation Ratio",PLAIN,EXPR,A,N,,"If the zero-order correlation coefficients among 3 variates all equal $\rho$, the multiple correlation $R^2_{1.23}$ equals (a) $\rho$ (b) $\dfrac{2\rho^2}{1+\rho}$ (c) $\dfrac{\rho^2}{1+\rho}$ (d) $+1$"
2018,30,Statistical Methods,S8,"Correlation: Distribution of r, Partial, Multiple, Intraclass, Correlation Ratio",PLAIN,EXPR,C,N,,"If $r$ is the correlation coefficient of a sample of $N$ independent observations from a bivariate normal population with true correlation zero, then $E(1-r^2)^{-1}$ is (a) $\dfrac{N-3}{N-4}$ (b) $\dfrac{2(N-3)}{N-4}$ (c) $0$ (d) $1$"
2018,31,Statistical Methods,S8,"Correlation: Distribution of r, Partial, Multiple, Intraclass, Correlation Ratio",PLAIN,NUM,A,N,,"If $ax_1+bx_2+cx_3=0$ holds identically for all $x_1,x_2,x_3$, the partial correlation coefficient $r_{12.3}$ is (a) $0$ (b) $1$ (c) $-1$ (d) $0.5$"
2018,32,Statistical Methods,S8,"Correlation: Distribution of r, Partial, Multiple, Intraclass, Correlation Ratio",PLAIN,EXPR,A,N,,"$X_1,X_2,X_3,X_4$ are four uncorrelated random variables, each with variance $\sigma^2$. What is the correlation between $U=X_1+X_2+X_3$ and $V=X_1+X_2+X_4$? (a) $0$ (b) $1$ (c) $\dfrac13$ (d) $\dfrac23$"
2018,33,Probability,P13,Laws of Large Numbers & Central Limit Theorems,PLAIN,EXPR,B,N,,"$(X_1,\ldots,X_n)$ is a random sample of size $n$ from $U[-3,3]$. The large-sample distribution of $\sqrt n\,\bar X$ is (a) $N(0,1)$ (b) $N(0,3)$ (c) $U\!\left[-\dfrac{3}{\sqrt n},\dfrac{3}{\sqrt n}\right]$ (d) $U\!\left[-\dfrac3n,\dfrac3n\right]$"
2018,34,Statistical Methods,S10,"Sampling Distributions: Sample Mean, Sample Variance, t, Chi-square, F",PLAIN,NUM,C,N,,"A normal population has mean $0.1$, SD $2.1$. What is the probability that the mean of a sample of size $900$ is negative? [Given $P(0<Z<1.43)=0.4236$] (a) $0.0764$ (b) $0.6408$ (c) $0.6074$ (d) $0.7046$"
2018,35,Statistical Methods,S10,"Sampling Distributions: Sample Mean, Sample Variance, t, Chi-square, F",PLAIN,EXPR,C,N,,"$(X_1,\ldots,X_5)$ are independent standard normal. The variable $\dfrac{C(X_1+X_2)}{(X_3^2+X_4^2+X_5^2)^{1/2}}$ has a $t$-distribution if $C$ equals (a) $\dfrac{\sqrt3}{2}$ (b) $\sqrt{\dfrac32}$ (c) $\dfrac32$ (d) $\sqrt{\dfrac23}$"
2018,36,Statistical Methods,S10,"Sampling Distributions: Sample Mean, Sample Variance, t, Chi-square, F",PLAIN,EXPR,C,N,,"If $X\sim F(m,n)$ with $m>2,n>2$, then $E(X)\,E(1/X)$ equals (a) $\dfrac{n(n-2)}{m(m-2)}$ (b) $\dfrac{m(m-2)}{n(n-2)}$ (c) $\dfrac{mn}{(m-2)(n-2)}$ (d) $\dfrac{m(n-2)}{n(m-2)}$"
2018,37,Statistical Methods,S12,Non-parametric Tests,PLAIN,NAME,A,N,,Which non-parametric test is analogous to the chi-square goodness-of-fit test? (a) Mann–Whitney test (b) Kolmogorov–Smirnov test (c) Wilcoxon test (d) Median test
2018,38,Statistical Methods,S10,"Sampling Distributions: Sample Mean, Sample Variance, t, Chi-square, F",MSA,SEL,A,N,,"Consider the following statements: 1. The normal distribution is a special case of the chi-square distribution with 1 degree of freedom. 2. All moments of order less than $n$ of the $t$-distribution with $n$ df exist. 3. If $t$ follows Student's $t$ with $n$ df, then $t^2$ follows $F(1,n)$. (a) 1 only (b) 1 and 2 only (c) 2 and 3 only (d) 1, 2 and 3"
2018,39,Statistical Methods,S13,"Order Statistics - Minimum, Maximum, Range, Median",PLAIN,EXPR,A,N,,"For a random sample of size 2 from $N(0,\sigma^2)$, what is $E[X_{(1)}]$ (first order statistic)? (a) $\dfrac{2\sigma}{\sqrt\pi}$ (b) $\dfrac{\sigma}{\pi}$ (c) $-\dfrac{\sigma}{\sqrt\pi}$ (d) $-\dfrac{\sigma}{\sqrt{2\pi}}$"
2018,40,Statistical Methods,S13,"Order Statistics - Minimum, Maximum, Range, Median",PLAIN,NUM,A,N,,"If $X_i,\ i=1,\ldots,n$ are iid with c.d.f. $F(x)=x,\ 0\le x\le1$, the p.d.f. $g(r)$ of the range $R=X_{(n)}-X_{(1)}$ is (a) $n(n-1)r^{n-2}(1-r)$ (b) $n(n-1)r(1-r)^{n-2}$ (c) $nr^{n-1}$ (d) $(n-1)r^{n-2}$"
2018,41,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",PLAIN,NUM,B,N,,"Given $f(1)=12,f(2)=40,f(3)=90,f(4)=168,f(5)=280,f(6)=432$, the degree of the polynomial $f(x)$ is at least (a) $2$ (b) $3$ (c) $4$ (d) $5$"
2018,42,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",PLAIN,NUM,A,N,,"$f(x)=x^3$ is represented as the factorial polynomial $f(x)=Ax^{(3)}+Bx^{(2)}+Cx+D$ with interval of differencing $h=2$. The values of $A,B,C,D$ are (a) $1,2,6,0$ (b) $1,6,4,0$ (c) $2,4,6,0$ (d) $2,2,6,1$"
2018,43,Numerical Analysis,N3,Divided Differences; Newton's & Lagrange's Formulae (Unequal Intervals),PLAIN,NAME,A,N,,The $n$th divided difference of an $n$th-degree polynomial is (a) a variable (b) a constant (c) zero (d) None of the above
2018,44,Numerical Analysis,N8,"Numerical Solution of Differential Equations - Euler, Milne, Picard, Runge-Kutta",PLAIN,EXPR,B,N,,"RK4 solves $\dfrac{dy}{dx}=f(x),\ y(0)=0$ with step $h$. The solution at $x=h$ is given by (a) $y(h)=\dfrac{h}{6}\left[3f(0)+f\!\left(\dfrac h2\right)+3f(h)\right]$ (b) $y(h)=\dfrac{h}{6}[f(0)+5f(h)]$ (c) $y(h)=\dfrac{h}{6}\left[f(0)+3f\!\left(\dfrac h2\right)+2f(h)\right]$ (d) $y(h)=\dfrac{h}{6}\left[f(0)+4f\!\left(\dfrac h2\right)+f(h)\right]$"
2018,45,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",PLAIN,NAME,A,N,,"The images $f(n)$ of $n\in\{1,\ldots,99\}\setminus\{50\}$ are given. To estimate $f(50)$ from a forward difference table, the working hypothesis is (a) $f$ is a polynomial of degree $50$ (b) degree $99$ (c) degree $98$ (d) degree not more than $97$"
2018,46,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",TBL,NUM,B,N,,Table: | $x$ | 1 | 2 | 3 | 4 | 5 | |---|---|---|---|---|---| | $f(x)$ | 2 | 5 | 7 | $\alpha$ | 32 | The missing term $\alpha$ is (a) $14$ (b) $15$ (c) $16$ (d) $17$
2018,47,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",PLAIN,NUM,A,N,,"Given $u_{10}=9,u_{20}=39,u_{30}=74,u_{40}=116,u_{50}=167$, the value of $E^{3/2}(u_{10})$ is (a) $35.75$ (b) $45.75$ (c) $55.75$ (d) $65.75$"
2018,48,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",PLAIN,NUM,A,N,,The value of $k$ satisfying $\Delta^2(1+k\Delta^3)0^5=630$ is (a) $4$ (b) $5$ (c) $6$ (d) $7$
2018,49,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",MSA,SEL,B,N,,Consider the following statements (interval of differencing $=1$): 1. $(E-2)^2(x\cdot2^x)=0$. 2. $(E-3)^3(x\cdot3^x)\ne0$. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2
2018,50,Numerical Analysis,N2,Interpolation - Newton-Gregory Forward & Backward (Equal Intervals),TBL,NUM,A,N,,Population (in lakhs) of a town: | Year | 1971 | 1981 | 1991 | 2001 | 2011 | |---|---|---|---|---|---| | Population | 0.9 | 1.2 | 1.5 | 1.9 | 2.5 | $P_{2006}$ estimated by Newton's forward difference formula satisfies (a) $P_{2006}<2$ (b) $2<P_{2006}<2.1$ (c) $2.1<P_{2006}<2.2$ (d) $2.2<P_{2006}<2.3$
2018,51,Numerical Analysis,N3,Divided Differences; Newton's & Lagrange's Formulae (Unequal Intervals),TBL,NAME,A,N,,Table: | $x$ | 2 | 3 | $\alpha$ | 5 | |---|---|---|---|---| | $f(x)$ | 4 | 5 | 16 | 25 | $\alpha$ estimated by Lagrange's interpolation formula satisfies (a) $3.5<\alpha<4$ (b) $\alpha=4$ (c) $4<\alpha<4.2$ (d) $4.2<\alpha<4.5$
2018,52,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",PLAIN,EXPR,B,N,,"If $\delta,\mu$ are the central difference and average operators, $\delta[f(x)g(x)]$ equals (a) $\mu f(x)\mu g(x)+\delta f(x)\delta g(x)$ (b) $\delta f(x)\delta g(x)-\mu f(x)\mu g(x)$ (c) $\mu f(x)\delta g(x)-\mu g(x)\delta f(x)$ (d) $\mu f(x)\delta g(x)+\mu g(x)\delta f(x)$"
2018,53,Numerical Analysis,N3,Divided Differences; Newton's & Lagrange's Formulae (Unequal Intervals),PLAIN,EXPR,A,N,,"If $f(x)=1/x$, the third divided difference $f[a,b,c,d]$ is (a) $\dfrac{1}{abcd}$ (b) $-\dfrac{1}{abcd}$ (c) $\dfrac{a-d}{ad}$ (d) $\dfrac1{ad}-\dfrac1{bc}$"
2018,54,Numerical Analysis,N3,Divided Differences; Newton's & Lagrange's Formulae (Unequal Intervals),PLAIN,NUM,A,N,,"$f(n^2)=n^3$ holds for $n=1,2,3$. Then $f(3)$ from Lagrange's interpolation is (a) $4.9$ (b) $5.1$ (c) $5.3$ (d) $5.5$"
2018,55,Numerical Analysis,N1,"Finite Differences: Operators, Factorial Polynomials, Separation of Symbols",MSA,SEL,A,N,,"The central difference $\delta$ is equivalent to which of the following? 1. $2\sinh\!\left(\dfrac{hD}{2}\right)$ 2. $E^{-1/2}\Delta$ 3. $\Delta(1+\Delta)^{-1/2}$ (a) 1 and 2 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3"
2018,56,Numerical Analysis,N6,"Numerical Integration - Trapezoidal, Simpson's 1/3 & 3/8, Weddle's Rule",MSA,SEL,A,N,,"Consider the following statements on quadrature: 1. Geometrically, Simpson's one-third rule replaces the graph by $n/2$ arcs of second-degree polynomials. 2. Weddle's rule gives an exact result for a polynomial of degree 6 or less. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2"
2018,57,Numerical Analysis,N6,"Numerical Integration - Trapezoidal, Simpson's 1/3 & 3/8, Weddle's Rule",PLAIN,EXPR,A,N,,"Using Simpson's three-eighth rule dividing the range into three equal parts, the value of $\displaystyle\int_0^{1/2}\sin(\pi x)\,dx$ is (a) $\dfrac{3(1+\sqrt2)}{32}$ (b) $\dfrac{5+3\sqrt3}{32}$ (c) $\dfrac{3+5\sqrt3}{32}$ (d) $\dfrac{3\sqrt3}{8}$"
2018,58,Numerical Analysis,N6,"Numerical Integration - Trapezoidal, Simpson's 1/3 & 3/8, Weddle's Rule",PLAIN,EXPR,B,N,,"The formula $\alpha f\!\left(-\dfrac12\right)+\beta f(0)+\gamma f\!\left(\dfrac12\right)$ approximates $\displaystyle\int_{-1}^1 f(x)\,dx$ exactly for every polynomial of degree less than 3. Then (a) $\alpha=\gamma=\dfrac43,\ \beta=-\dfrac23$ (b) $\alpha=\gamma=\dfrac13,\ \beta=0$ (c) $\alpha=\gamma=\dfrac43,\ \beta=1$ (d) $\alpha=\beta=\gamma$"
2018,59,Numerical Analysis,N6,"Numerical Integration - Trapezoidal, Simpson's 1/3 & 3/8, Weddle's Rule",PLAIN,NUM,A,N,,"Using the Trapezoidal rule with 10 equal parts, $\displaystyle\int_0^{10}2^x\,dx$ belongs to (a) $(1400,1450)$ (b) $(1450,1500)$ (c) $(1500,1550)$ (d) $(1550,1600)$"
2018,60,Numerical Analysis,N8,"Numerical Solution of Differential Equations - Euler, Milne, Picard, Runge-Kutta",PLAIN,EXPR,A,N,,"For $\dfrac{dy}{dx}=\dfrac{y}{x^2}$, $y(1)=1$, approximations $y_1,y_2$ by Picard's method with $y_0=y(1)$ have constant terms respectively (a) $1,1$ (b) $2,2$ (c) $2,\dfrac32$ (d) None of the above"
2018,61,Computer Application and Data Processing,C1,"Computer Organisation: CPU, ALU, Control & Memory Units, I/O Units",MSA,SEL,A,N,,"Consider the following statements: 1. ALU is a component of the Control Unit. 2. CPU is a component of the Control Unit. 3. The Control Unit is not a component of the ALU. 4. ALU is a component of the CPU. (a) 4 only (b) 3 and 4 only (c) 1 and 3 only (d) 2, 3 and 4"
2018,62,Computer Application and Data Processing,C4,Number Systems & Binary Arithmetic,PLAIN,NUM,A,N,,The decimal equivalent of octal $325.12$ is (a) $532.123$ (b) $213.15625$ (c) $213.56121$ (d) $124.123$
2018,63,Computer Application and Data Processing,C3,"Memory: RAM, ROM, Cache; Units of Memory & Storage Capacity",PLAIN,NUM,A,N,,"A system has 1024 memory locations, each storing 8 bits. How many address lines are required? (a) $8$ (b) $10$ (c) $16$ (d) $1024$"
2018,64,Computer Application and Data Processing,C5,"Software, Operating Systems, Packages & Utilities",PLAIN,NAME,A,N,,The core component of UNIX is (a) Command shell (b) Kernel (c) Directories and programs (d) None of the above
2018,65,Computer Application and Data Processing,C4,Number Systems & Binary Arithmetic,MSA,SEL,B,N,,"Regarding representations of negative integers, 2's complement is generally used because: 1. More numbers can be stored in 2's complement. 2. Arithmetic operations can be performed faster. 3. It is easy to represent negative numbers in 2's complement. (a) 1 and 3 only (b) 2 and 3 only (c) 1 and 2 only (d) 1, 2 and 3"
2018,66,Computer Application and Data Processing,C4,Number Systems & Binary Arithmetic,PLAIN,NAME,B,N,,The correct normalised form for $11.234$ is (a) $11.234$ (b) $.11234E+2$ (c) $.011234E+1$ (d) $1.1234E\times10$
2018,67,Computer Application and Data Processing,C4,Number Systems & Binary Arithmetic,PLAIN,NUM,A,N,,The maximum decimal integer that can be stored in an 8-bit word processor is (a) $(128)_{10}$ (b) $(127)_{10}$ (c) $(129)_{10}$ (d) $(130)_{10}$
2018,68,Computer Application and Data Processing,C9,"Programming Basics: Algorithm, Flowchart, Control Structures, Arrays, Functions",NEG,SEL,B,N,,"Which of these are *not* bitwise operators? 1. `&&` 2. `&` 3. `>>` 4. `!` 5. `%` (a) 2 and 3 only (b) 1, 3, 4 and 5 (c) 1, 2 and 5 (d) 1, 4 and 5"
2018,69,Computer Application and Data Processing,C3,"Memory: RAM, ROM, Cache; Units of Memory & Storage Capacity",PLAIN,NAME,A,N,,Which type of memory is the auxiliary memory? (a) SRAM (b) Magnetic tape (c) Flash ROM (d) Cache memory
2018,70,Computer Application and Data Processing,C6,"Languages, Compiler, Assembler, Interpreter; Low & High Level",PLAIN,SEL,A,N,,Which statement is correct? (a) A compiler translates and executes instructions simultaneously. (b) An interpreter translates and executes instructions simultaneously. (c) An interpreter can only translate machine-language programs. (d) None of the above
2018,71,Computer Application and Data Processing,C9,"Programming Basics: Algorithm, Flowchart, Control Structures, Arrays, Functions",PLAIN,NAME,B,N,,Code: ``` while (x != y) { if (x > y) x = x - y; else y = y - x; } ``` What does this compute? (a) $x \bmod y$ via repeated subtraction (b) $x\div y$ via repeated subtraction (c) The GCD of $x$ and $y$ (d) The LCM of $x$ and $y$
2018,72,Computer Application and Data Processing,C9,"Programming Basics: Algorithm, Flowchart, Control Structures, Arrays, Functions",MSA,SEL,A,N,,"Consider the following statements: 1. An array is a collection of elements of the same type. 2. Strings are character arrays where each character uses one byte. 3. An array can store elements of different types. 4. Strings can be data arrays too. (a) 1 and 3 only (b) 1 and 2 only (c) 3 and 4 only (d) 1, 2, 3 and 4"
2018,73,Computer Application and Data Processing,C4,Number Systems & Binary Arithmetic,MSA,SEL,A,N,,Consider the following statements: 1. Weighted 4-bit BCD code is known as the 1246-weighted code. 2. The octal system is also known as the base-8 system. 3. The octal system is known as the base-2 system. 4. Weighted 4-bit BCD code is known as the 8421-weighted code. (a) 2 only (b) 3 and 4 only (c) 1 and 2 only (d) 2 and 4 only
2018,74,Computer Application and Data Processing,C4,Number Systems & Binary Arithmetic,PLAIN,NUM,B,N,,The maximum permissible integer in a computer with an $n$-bit word and one word per integer is (a) $2^n-1$ (b) $2^{n-1}-1$ (c) $2^{n-1}+1$ (d) $2^n+1$
